Sample,alpha,gamma,beta,delta,Transport_Time,Total_Cost,Time_Change,Cost_Change
41,0.00043776835955598736,0.9156869095595741,0.015096108683025447,0.9238652488811134,459.53858046137367,71192664110613.52,3.7926885443325182,6.929683494214828
42,0.00040485280712555094,0.9562996172126959,0.014334829194879013,0.863684496058014,440.0081300183729,71839480730894.66,-0.6185144452525663,7.901186630802029
43,0.0004989466104938631,0.8649999991814801,0.015837897096635047,0.8032583025834659,486.4962071945894,78411351442489.47,9.881414658701091,17.77197969543423
44,0.0004568570547633847,0.8172740814152728,0.014085129733010026,0.8504325315135772,514.8841841489143,78605431391835.1,16.29320373518234,18.063483150394934
45,0.0004318152466429165,0.8715123673349393,0.0158716291346008,0.7134530765692495,482.8284396464303,82887244632106.55,9.053002266433879,24.494664512735714
46,0.0005050415792555532,0.9858737465506924,0.015635952616891345,0.8736700892865645,426.85159887204026,70384847858870.42,-3.590085925114196,5.71636275113711
47,0.00045934200662892344,0.8042833528526927,0.015990844528353757,0.9120982842824361,523.2018582692687,76942705017138.55,18.171857228258883,15.566107792906678
48,0.000479490369290877,0.8104148624630434,0.014104317589353389,0.8297169215783438,519.2538375446427,79861936943984.25,17.28014605783602,19.95072452109682
49,0.00042510819391886425,0.8518066389474863,0.014989975072075678,0.7910330687559495,493.99489713466176,79591380533299.72,11.575090059489062,19.54435524522764
50,0.000544594205004527,0.981726355853915,0.015594952700254214,0.7075089952806384,428.671835250004,78725513633979.03,-3.178962168616161,18.243843814041075
51,0.0005126467485763414,0.9234992790858015,0.015575428842211756,0.7677472644830858,455.6852361381095,77592935669673.5,2.9223612547345774,16.542738724511803
52,0.00040163695168896995,0.8551569987194292,0.0148650828083956,0.9980159246641757,492.04795520245034,71441385278897.75,11.135348226755378,7.303256756786126
53,0.00043834492220518945,0.8340145806906305,0.015004033931736622,0.7442734128736073,504.5399865045609,82887458571924.47,13.956833885096085,24.494985845239604
54,0.0005884648102519649,0.903561951661773,0.015165456644903734,0.9424021753606389,465.77538065994383,71059337338873.97,5.201349945239282,6.729429863008325
55,0.000580349792318479,0.8143544580637995,0.014699277950855134,0.8532281664156458,516.7939962422942,78663962679902.98,16.724559317095313,18.15139574905656
56,0.0004540034886376381,0.8680574661695035,0.0147471241702913,0.8614984023621458,484.76087552373775,75664191402005.72,9.489467720420123,13.64581083651259
57,0.0005464862676202307,0.9242232366361576,0.015025388592153254,0.7315936105716503,455.34370775718315,79501552585557.0,2.845222684921906,19.409435810183883
58,0.0004229715988316333,0.8595719435411084,0.014719506319595153,0.9882376107308267,489.5311401366938,71528535713713.92,10.566893230046546,7.434154631274955
