Total_Time,Total_Cost
124.64557423991464,74944814574464.5
124.5519964814763,74966189812771.95
124.55199648147628,74966189812771.95
124.55199648147627,74966189812771.95
124.45841872303791,74987565051079.4
124.4584187230379,74987565051079.42
124.45841872303788,74987568301079.42
124.36484096459954,75008940289386.88
124.36484096459952,75008940289386.88
124.27126320616117,75030315527694.33
124.27126320616115,75030315527694.33
124.27126320616114,75030318777694.33
124.17768544772278,75051690766001.78
124.17768544772277,75051690766001.8
124.0841076892844,75073066004309.25
123.99052993084604,75094441242616.7
123.99052993084602,75094441242616.72
123.99052993084601,75094444492616.72
123.89695217240767,75115816480924.16
123.89695217240765,75115816480924.16
123.8033744139693,75137191719231.62
123.80337441396928,75137191719231.62
123.80337441396927,75137194969231.62
123.70979665553092,75158566957539.08
123.70979665553091,75158566957539.1
123.7097966555309,75158570207539.1
123.61621889709255,75179942195846.53
123.61621889709254,75179942195846.55
123.61621889709252,75179942195846.55
123.52264113865417,75201317434154.0
123.52264113865415,75201317434154.0
123.52264113865414,75201320684154.02
123.42906338021578,75222692672461.47
123.33548562177742,75244067910768.92
123.33548562177741,75244067910768.92
123.3354856217774,75244071160768.92
123.24190786333904,75265443149076.38
123.24190786333902,75265443149076.39
123.14833010490065,75286818387383.84
123.0547523464623,75308193625691.3
123.05475234646228,75308193625691.3
123.05475234646227,75308196875691.31
122.96117458802391,75329568863998.75
122.86759682958555,75350944102306.22
122.86759682958554,75350944102306.22
122.86759682958552,75350947352306.22
122.77401907114717,75372319340613.67
122.77401907114715,75372319340613.69
122.6804413127088,75393694578921.12
122.68044131270878,75393694578921.12
122.58686355427042,75415069817228.6
122.58686355427041,75415069817228.61
122.5868635542704,75415073067228.6
122.49328579583205,75436445055536.05
122.49328579583204,75436445055536.06
122.39970803739368,75457820293843.5
122.39970803739367,75457820293843.52
122.39970803739365,75457823543843.5
122.3061302789553,75479195532150.97
122.30613027895528,75479195532150.98
122.21255252051692,75500570770458.44
122.21255252051691,75500570770458.44
122.11897476207855,75521946008765.89
122.11897476207854,75521946008765.89
122.11897476207852,75521949258765.9
122.02539700364017,75543321247073.34
122.02539700364015,75543327747073.36
121.93181924520181,75564696485380.81
121.9318192452018,75564696485380.81
121.93181924520178,75564699735380.81
121.83824148676342,75586071723688.27
121.83824148676341,75586074973688.28
121.74466372832504,75607446961995.72
121.65108596988668,75628822200303.19
121.65108596988667,75628822200303.19
121.65108596988665,75628825450303.19
121.5575082114483,75650197438610.64
121.55750821144828,75650203938610.66
121.46393045300992,75671572676918.1
121.46393045300991,75671575926918.1
121.37035269457157,75692947915225.56
121.37035269457155,75692947915225.56
121.37035269457154,75692947915225.58
121.2767749361332,75714323153533.02
121.27677493613317,75714323153533.03
121.18319717769481,75735698391840.47
121.1831971776948,75735698391840.48
121.18319717769478,75735701641840.48
121.08961941925642,75757073630147.94
121.08961941925641,75757080130147.95
120.99604166081807,75778448868455.4
120.99604166081805,75778448868455.4
120.99604166081804,75778452118455.4
120.90246390237968,75799824106762.86
120.90246390237967,75799824106762.88
120.80888614394131,75821199345070.31
120.8088861439413,75821199345070.31
120.71530838550294,75842574583377.78
120.71530838550292,75842577833377.78
120.71530838550291,75842577833377.78
120.62173062706457,75863949821685.23
120.62173062706455,75863949821685.23
120.62173062706454,75863956321685.25
120.5281528686262,75885325059992.69
120.52815286862618,75885325059992.69
120.52815286862617,75885328309992.69
120.43457511018781,75906700298300.16
120.4345751101878,75906703548300.16
120.34099735174942,75928075536607.61
120.24741959331107,75949450774915.06
120.24741959331105,75949450774915.08
120.24741959331104,75949454024915.08
120.15384183487268,75970826013222.53
120.15384183487267,75970832513222.53
120.06026407643432,75992201251530.0
120.06026407643431,75992201251530.0
120.0602640764343,75992204501529.98
119.96668631799594,76013576489837.45
119.96668631799592,76013579739837.45
119.87310855955755,76034951728144.9
119.7795308011192,76056326966452.38
119.77953080111918,76056326966452.38
119.77953080111917,76056330216452.38
119.68595304268081,76077702204759.83
119.6859530426808,76077708704759.84
119.59237528424245,76099077443067.3
119.59237528424244,76099080693067.28
119.59237528424242,76099080693067.28
119.49879752580406,76120452681374.75
119.49879752580405,76120455931374.75
119.49879752580404,76120455931374.75
119.40521976736568,76141827919682.22
119.40521976736567,76141834419682.22
119.31164200892732,76163206407989.66
119.31164200892731,76163206407989.66
119.3116420089273,76163206407989.66
119.21806425048894,76184581646297.12
119.21806425048892,76184584896297.12
119.12448649205058,76205956884604.58
119.12448649205056,76205956884604.58
119.12448649205055,76205956884604.58
119.0309087336122,76227332122912.03
119.03090873361218,76227332122912.03
119.03090873361216,76227332122912.05
118.93733097517384,76248707361219.5
118.93733097517381,76248707361219.5
118.84375321673545,76270082599526.95
118.84375321673544,76270082599526.95
118.84375321673542,76270082599526.97
118.75017545829706,76291457837834.4
118.75017545829705,76291461087834.42
118.65659769985871,76312833076141.88
118.6565976998587,76312833076141.88
118.65659769985868,76312833076141.88
118.56301994142034,76334208314449.33
118.56301994142032,76334208314449.33
118.56301994142031,76334208314449.34
118.46944218298195,76355583552756.78
118.46944218298194,76355583552756.78
118.46944218298192,76355586802756.81
118.37586442454358,76376958791064.25
118.37586442454356,76376958791064.25
118.37586442454355,76376958791064.25
118.28228666610521,76398334029371.72
118.2822866661052,76398334029371.72
118.28228666610518,76398337279371.72
118.18870890766684,76419709267679.17
118.18870890766682,76419709267679.17
118.18870890766681,76419709267679.17
118.09513114922845,76441084505986.62
118.09513114922844,76441084505986.62
118.09513114922842,76441084505986.64
118.0015533907901,76462459744294.1
118.00155339079006,76462459744294.1
118.00155339079005,76462462994294.11
117.90797563235171,76483834982601.55
117.9079756323517,76483834982601.55
117.90797563235168,76483834982601.55
117.81439787391332,76505210220909.0
117.81439787391331,76505213470909.02
117.72082011547495,76526585459216.47
117.72082011547494,76526585459216.47
117.62724235703658,76547960697523.92
117.62724235703655,76547960697523.94
117.53366459859822,76569335935831.38
117.53366459859821,76569335935831.38
117.5336645985982,76569335935831.38
117.44008684015984,76590711174138.84
117.44008684015981,76590711174138.84
117.34650908172145,76612086412446.3
117.34650908172144,76612089662446.31
