Index,Total_Time,Total_Cost
24646,131.1419,73460890909782.47
14781,131.1418,73460901744366.56
26049,130.8871,73519130855937.53
26099,130.887,73519132533040.84
25648,130.8869,73519134828243.14
14881,130.8868,73519147211645.1
25698,130.632,73577377045521.67
24846,130.6319,73577381844339.53
4565,130.63189999999997,73577390714780.03
13729,130.6318,73577397477741.48
23043,130.37709999999998,73635621197224.9
26249,130.377,73635623467597.9
15081,130.3769,73635629760685.52
7519,130.37689999999998,73635633397042.8
15131,130.3768,73635649781718.78
24996,130.1221,73693866174689.94
26299,130.122,73693868934876.44
22642,130.12199999999999,73693872313912.38
15181,130.1219,73693875227964.03
25096,130.12189999999998,73693877914413.22
15231,130.1218,73693895248997.31
26349,129.8671,73752111152154.97
25146,129.867,73752114996175.12
15281,129.86690000000002,73752120695242.56
25196,129.8669,73752123381691.77
24094,129.6121,73810358553858.22
25246,129.612,73810360463453.66
15381,129.6119,73810366162521.12
25697,129.3571,73868603531323.27
25346,129.357,73868605930732.19
14379,129.3569,73868616428617.5
25446,129.1021,73926849720907.39
25496,129.102,73926851398010.72
23142,129.10199999999998,73926859214336.48
15631,129.1019,73926862232594.81
26699,128.8472,73985094698372.44
26749,128.8471,73985096375475.75
