Index,q_SE,q_R,Time,Cost,Alpha,Rocket_Launches
134,26934673366.83417,13065326633.165829,50.15767852296866,29909527017201.93,0.6733668341708543,87103.0
133,26733668341.70854,13266331658.291458,49.78336748921516,29995027970431.766,0.6683417085427136,88443.0
132,26532663316.582916,13467336683.417084,49.409056455461666,30080528923661.6,0.663316582914573,89783.0
131,26331658291.457287,13668341708.542713,49.034745421708166,30166029876891.44,0.6582914572864321,91123.0
130,26130653266.331657,13869346733.668343,48.660434387954666,30251530830121.28,0.6532663316582914,92463.0
129,25929648241.20603,14070351758.793968,48.28612335420117,30337031783351.11,0.6482412060301508,93803.0
128,25728643216.080402,14271356783.919598,47.91181232044767,30422532736580.945,0.6432160804020101,95143.0
127,25527638190.954773,14472361809.045227,47.53750128669418,30508033689810.79,0.6381909547738693,96483.0
126,25326633165.829147,14673366834.170853,47.16319025294069,30593534643040.62,0.6331658291457287,97823.0
125,25125628140.703518,14874371859.296482,46.78887921918719,30679035596270.46,0.628140703517588,99163.0
124,24924623115.57789,15075376884.422112,46.41456818543369,30764536549500.297,0.6231155778894472,100503.0
123,24723618090.452263,15276381909.547737,46.040257151680194,30850037502730.133,0.6180904522613065,101843.0
122,24522613065.326633,15477386934.673367,45.665946117926694,30935538455959.97,0.6130653266331658,103183.0
121,24321608040.201004,15678391959.798996,45.291635084173194,31021039409189.805,0.6080402010050251,104523.0
120,24120603015.07538,15879396984.924622,44.9173240504197,31106540362419.64,0.6030150753768845,105863.0
119,23919597989.94975,16080402010.050251,44.5430130166662,31192041315649.477,0.5979899497487438,107203.0
118,23718592964.82412,16281407035.17588,44.1687019829127,31277542268879.312,0.592964824120603,108543.0
117,23517587939.698494,16482412060.301506,43.79439094915921,31363043222109.15,0.5879396984924623,109883.0
116,23316582914.572865,16683417085.427135,43.42007991540571,31448544175338.984,0.5829145728643216,111223.0
115,23115577889.447235,16884422110.552765,43.04576888165221,31534045128568.82,0.5778894472361809,112563.0
114,22914572864.32161,17085427135.67839,42.671457847898715,31619546081798.656,0.5728643216080402,113903.0
113,22713567839.19598,17286432160.80402,42.297146814145215,31705047035028.492,0.5678391959798995,115243.0
112,22512562814.07035,17487437185.92965,41.922835780391715,31790547988258.33,0.5628140703517588,116583.0
111,22311557788.944725,17688442211.055275,41.54852474663822,31876048941488.164,0.5577889447236182,117923.0
110,22110552763.819096,17889447236.180904,41.17421371288472,31961549894718.0,0.5527638190954773,119263.0
109,21909547738.693466,18090452261.306534,40.79990267913122,32047054097947.844,0.5477386934673366,120604.0
108,21708542713.56784,18291457286.43216,40.42559164537773,32132555051177.68,0.542713567839196,121944.0
107,21507537688.44221,18492462311.55779,40.05128061162423,32218056004407.51,0.5376884422110553,123284.0
106,21306532663.31658,18693467336.68342,39.67696957787073,32303556957637.35,0.5326633165829145,124624.0
105,21105527638.190956,18894472361.809044,39.302658544117236,32389057910867.184,0.5276381909547739,125964.0
104,20904522613.065327,19095477386.934673,38.928347510363736,32474558864097.02,0.5226130653266332,127304.0
103,20703517587.939697,19296482412.060303,38.554036476610236,32560059817326.86,0.5175879396984925,128644.0
102,20502512562.81407,19497487437.18593,38.17972544285674,32645560770556.695,0.5125628140703518,129984.0
101,20301507537.688442,19698492462.311558,37.80541440910324,32731061723786.53,0.507537688442211,131324.0
100,20100502512.562813,19899497487.437187,37.43110337534974,32816562677016.367,0.5025125628140703,132664.0
99,19899497487.437187,20100502512.562813,37.05679234159625,32902063630246.203,0.4974874371859297,134004.0
98,19698492462.311558,20301507537.688442,36.68248130784275,32987564583476.04,0.49246231155778897,135344.0
97,19497487437.18593,20502512562.81407,36.30817027408925,33073065536705.875,0.4874371859296482,136684.0
96,19296482412.060303,20703517587.939697,35.93385924033576,33158566489935.71,0.4824120603015076,138024.0
95,19095477386.934673,20904522613.065327,35.55954820658226,33244067443165.547,0.47738693467336685,139364.0
94,18894472361.809044,21105527638.190956,35.18523717282876,33329568396395.387,0.4723618090452261,140704.0
93,18693467336.68342,21306532663.31658,34.810926139075264,33415069349625.22,0.46733668341708545,142044.0
92,18492462311.55779,21507537688.44221,34.43661510532176,33500570302855.055,0.4623115577889447,143384.0
91,18291457286.43216,21708542713.56784,34.06230407156827,33586071256084.89,0.457286432160804,144724.0
90,18090452261.306534,21909547738.693466,33.68799303781478,33671572209314.727,0.45226130653266333,146064.0
89,17889447236.180904,22110552763.819096,33.31368200406128,33757073162544.57,0.4472361809045226,147404.0
88,17688442211.055275,22311557788.944725,32.93937097030778,33842574115774.406,0.4422110552763819,148744.0
87,17487437185.92965,22512562814.07035,32.565059936554285,33928075069004.242,0.4371859296482412,150084.0
86,17286432160.80402,22713567839.19598,32.190748902800784,34013576022234.08,0.4321608040201005,151424.0
85,17085427135.678392,22914572864.32161,31.816437869047284,34099076975463.914,0.4271356783919598,152764.0
84,16884422110.552765,23115577889.447235,31.442126835293788,34184577928693.746,0.42211055276381915,154104.0
83,16683417085.427135,23316582914.572865,31.067815801540288,34270078881923.582,0.41708542713567837,155444.0
82,16482412060.301508,23517587939.698494,30.693504767786795,34355579835153.42,0.4120603015075377,156784.0
81,16281407035.17588,23718592964.82412,30.3191937340333,34441080788383.258,0.407035175879397,158124.0
80,16080402010.050251,23919597989.94975,29.9448827002798,34526581741613.094,0.4020100502512563,159464.0
79,15879396984.924623,24120603015.07538,29.570571666526302,34612085944842.93,0.3969849246231156,160805.0
78,15678391959.798996,24321608040.201004,29.196260632772805,34697586898072.766,0.3919597989949749,162145.0
77,15477386934.673367,24522613065.326633,28.821949599019305,34783087851302.6,0.3869346733668342,163485.0
76,15276381909.547739,24723618090.452263,28.44763856526581,34868588804532.445,0.38190954773869346,164825.0
75,15075376884.422112,24924623115.57789,28.073327531512312,34954089757762.273,0.3768844221105528,166165.0
74,14874371859.296482,25125628140.703518,27.699016497758812,35039590710992.113,0.37185929648241206,167505.0
73,14673366834.170855,25326633165.829147,27.324705464005316,35125091664221.95,0.3668341708542714,168845.0
72,14472361809.045227,25527638190.954773,26.95039443025182,35210592617451.78,0.36180904522613067,170185.0
71,14271356783.919598,25728643216.080402,26.57608339649832,35296093570681.62,0.35678391959798994,171525.0
70,14070351758.79397,25929648241.20603,26.201772362744823,35381594523911.45,0.35175879396984927,172865.0
69,13869346733.668343,26130653266.331657,25.827461328991326,35467095477141.3,0.34673366834170855,174205.0
68,13668341708.542713,26331658291.457287,25.453150295237826,35552596430371.13,0.3417085427135678,175545.0
67,13467336683.417086,26532663316.582916,25.07883926148433,35638097383600.97,0.33668341708542715,176885.0
66,13266331658.291458,26733668341.70854,24.704528227730833,35723598336830.805,0.3316582914572865,178225.0
65,13065326633.165829,26934673366.83417,24.59794520547945,35809099290060.64,0.3266331658291457,179565.0
